Designator,Mid X,Mid Y,Rotation,Layer
C1,166.965,-121.1875,90.0,top
C10,180.41,-102.855,0.0,top
C11,178.31,-94.785,180.0,top
C12,178.32,-92.275,180.0,top
C13,178.32,-89.645,180.0,top
C14,178.36,-86.995,180.0,top
C15,182.8,-97.565,90.0,top
C16,164.671984,-109.01,90.0,top
C17,169.15,-106.72,0.0,top
C18,163.66,-103.29,90.0,top
C19,164.83,-103.28,90.0,top
C2,166.98,-119.03,90.0,top
C20,153.51,-102.11,90.0,top
C21,154.746274,-101.166274,180.0,top
C22,144.28,-124.87,90.0,top
C3,168.85,-115.94,180.0,top
C35,145.39,-104.82,270.0,top
C36,139.62,-104.84,90.0,top
C37,139.64,-99.72,270.0,top
C38,145.23,-99.7,270.0,top
C39,145.97,-121.92,270.0,top
C4,172.05,-115.94,0.0,top
C40,141.886274,-116.956274,135.0,top
C41,147.19,-122.51,180.0,top
C42,149.965,-106.13,0.0,top
C43,148.39,-106.13,0.0,top
C44,141.735,-110.82,0.0,top
C45,157.67,-114.71,0.0,top
C46,146.96,-123.49,180.0,top
C47,148.61,-105.19,0.0,top
C48,157.67,-113.63,0.0,top
C49,138.04,-89.35,90.0,top
C5,173.43,-117.51,270.0,top
C6,174.31,-118.3,90.0,top
C7,141.48,-125.74,0.0,top
C8,180.39,-107.585,0.0,top
C9,180.37,-105.405,0.0,top
CARD1,159.33,-89.0,180.0,top
D1,169.21,-123.36,90.0,top
J1,180.41,-113.54,90.0,top
J2,175.79,-83.06,90.0,top
J3,175.79,-78.47,90.0,top
L1,164.88,-118.39,90.0,top
L2,174.81,-98.59,90.0,top
L3,167.83,-103.32,0.0,top
L4,141.87,-109.27,0.0,top
R1,154.61,-122.0275,180.0,top
R10,154.26,-105.4,90.0,top
R11,154.42,-108.43,270.0,top
R12,184.18,-100.905,90.0,top
R13,182.78,-99.13,90.0,top
R14,170.821984,-108.96,270.0,top
R15,172.131984,-108.91,90.0,top
R17,163.64,-96.02,90.0,top
R18,164.83,-96.02,90.0,top
R19,157.06,-96.01,90.0,top
R2,158.25,-121.9875,0.0,top
R20,158.1,-96.02,90.0,top
R21,159.31,-96.03,90.0,top
R22,161.52,-96.0,90.0,top
R23,144.88,-92.7,180.0,top
R3,173.75,-119.7225,180.0,top
R4,175.04,-121.12,270.0,top
R5,173.4,-121.7,270.0,top
R6,174.21,-121.71,270.0,top
R7,173.74,-120.51,0.0,top
R8,169.18,-125.175,90.0,top
R9,156.54,-104.4,180.0,top
SW1,140.25,-89.38,270.0,top
SW2,145.64,-89.26,270.0,top
U1,149.29,-114.23,225.0,top
U2,170.405,-119.6525,0.0,top
U4,155.07,-102.799,0.0,top
U5,180.59,-98.515,90.0,top
U6,167.771984,-108.98,180.0,top
U7,141.7,-123.42,0.0,top
USB1,156.19,-125.7975,0.0,top
X1,142.4,-104.93,180.0,top
X2,142.49,-99.72,0.0,top
