Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C28, C29, C30",0402,4,1uF,
"C10, C11, C13",0805,3,22uF,
"C12, C2, C9",0603,3,10uF,
"C14, C15, C19, C20, C21, C22, C23, C24, C25, C26, C27, C37",0201,12,100nF,
C16,0603,1,2.2uF,
"C17, C18",0402,2,22uF,
"C3, C31, C5",0402,3,10uF,
C32,0201,1,2.2uF,
"C33, C34, C35, C36",0201,4,20pF,
C4,0201,1,47nF,
C6,0603,1,44uF,
"C7, C8",0805,2,10uF,
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145
D1,0402,1,LED,
J1,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Screw_Terminal_01x02,
"J2, J3",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
L4,L0603,1,FCM1608KF-601T03,C141723
L5,L2520,1,DFE252012F-1R0M=P2,C435392
L6,IND-SMD_L4.0-W4.0-A,1,XFL4020-152MEC,C3033018
L7,IND-SMD_L3.0-W3.0,1,YHNR3015-5R6M,C18236327
"R1, R2",0201,2,5.1K,
"R10, R11, R12, R13, R16, R17, R18, R19, R20, R21, R22, R6, R7, R8, R9",0201,15,10K,
R14,0402,1,100K,
R15,0402,1,22.1K,
R3,0201,1,383,
R4,0201,1,5.23K,
R5,0201,1,30.1K,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,1,BQ25883RGER,C544362
U2,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F722RETx,
U4,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U5,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,1,TPS63070RNMR,C109322
U6,SOT-23-6,1,LMR51430,
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
