Designator,Mid X,Mid Y,Rotation,Layer
C1,170.44,-128.35,270.0,top
C10,178.625,-98.275,0.0,top
C11,178.625,-100.325,0.0,top
C12,178.675,-96.425,0.0,top
C13,178.625,-102.375,0.0,top
C14,180.525,-104.475,90.0,top
C15,173.13,-109.25,180.0,top
C16,170.85,-114.0,180.0,top
C17,164.0,-111.575,270.0,top
C18,165.05,-111.575,270.0,top
C19,169.8,-116.725,0.0,top
C2,175.54,-122.55,0.0,top
C20,168.225,-117.25,180.0,top
C21,149.5,-128.75,270.0,top
C22,147.09,-129.61,0.0,top
C23,156.525,-109.975,90.0,top
C24,154.45,-110.0,90.0,top
C25,163.705,-118.9,0.0,top
C26,153.35,-126.35,180.0,top
C27,148.3,-121.65,270.0,top
C28,146.5,-116.2,0.0,top
C29,155.45,-109.7,90.0,top
C3,177.24,-125.5,90.0,top
C30,153.15,-127.4,180.0,top
C31,163.87,-117.9,0.0,top
C32,152.15,-125.75,270.0,top
C33,148.326777,-108.321142,315.0,top
C34,144.626777,-112.071142,135.0,top
C35,152.725,-106.815,90.0,top
C36,150.175,-106.815,90.0,top
C37,148.07,-100.28,270.0,top
C4,176.04,-124.25,270.0,top
C5,170.44,-126.2,90.0,top
C6,172.44,-122.55,180.0,top
C7,178.675,-111.225,0.0,top
C8,178.675,-109.175,0.0,top
C9,178.675,-113.025,0.0,top
CARD1,163.04,-96.27,180.0,top
D1,172.64,-130.4325,270.0,top
J1,178.85,-117.92,90.0,top
J2,176.65,-90.1,270.0,top
J3,176.635,-93.775,270.0,top
L4,146.75,-114.8,180.0,top
L5,168.39,-125.4,270.0,top
L6,174.025,-105.425,270.0,top
L7,168.15,-111.1,0.0,top
R1,159.808434,-126.779069,180.0,top
R10,167.7,-118.525,180.0,top
R11,159.95,-111.925,90.0,top
R12,180.525,-106.97,270.0,top
R13,180.875,-105.725,180.0,top
R14,173.55,-113.75,180.0,top
R15,173.55,-115.1,0.0,top
R16,167.4,-103.725,270.0,top
R17,168.5,-103.725,270.0,top
R18,160.8,-103.725,270.0,top
R19,161.9,-103.725,270.0,top
R2,163.553434,-126.729069,0.0,top
R20,163.0,-103.725,270.0,top
R21,165.2,-103.725,270.0,top
R22,151.15,-103.65,0.0,top
R3,177.35,-127.6,0.0,top
R4,178.94,-128.0,90.0,top
R5,176.94,-128.7,90.0,top
R6,177.74,-128.7,90.0,top
R7,171.625,-131.25,270.0,top
R8,177.34,-126.85,0.0,top
R9,168.775,-119.85,180.0,top
SW1,145.95,-100.2,270.0,top
SW2,151.45,-100.1,270.0,top
U1,173.64,-126.75,0.0,top
U2,147.3,-127.46,0.0,top
U3,155.45,-118.15,225.0,top
U4,169.85,-118.225,0.0,top
U5,178.355,-105.475,90.0,top
U6,172.95,-111.45,180.0,top
USB1,161.453434,-130.396569,0.0,top
X1,146.376777,-110.171142,225.0,top
X2,151.45,-108.85,180.0,top
